"OccupancyID","RoomID","RoomType","customerID","customer source","price","price unit","check in time","check out time"
"1","1","SINGLE","1","TELEPHONE","230","USD","2015/01/14","2015/01/15"
"2","2","SINGLE","2","TRAVEL AGENT","200","USD","2015/01/13","2015/01/15"
"3","3","SINGLE","3","COMPANY","190","USD","2015/01/12","2015/01/15"
"4","4","SINGLE","4","WEBSITE","200","USD","2015/01/11","2015/01/15"
"5","5","SINGLE","5","OTHER","210","USD","2015/01/10","2015/01/15"
"6","6","DOUBLE","6","TELEPHONE","300","USD","2015/01/09","2015/01/15"
"7","7","SINGLE","7","TELEPHONE","100","USD","2015/01/08","2015/01/15"
"8","1","SINGLE","8","TELEPHONE","230","USD","2015/01/07","2015/01/15"
"9","2","SINGLE","9","TELEPHONE","200","USD","2015/01/06","2015/01/15"
"10","3","SINGLE","10","OTHER","190","USD","2015/01/05","2015/01/15"
"11","4","SINGLE","11","TELEPHONE","200","USD","2015/01/04","2015/01/15"
"12","5","SINGLE","12","TRAVEL AGENT","210","USD","2015/01/03","2015/01/15"
"13","6","SINGLE","13","COMPANY","300","USD","2015/01/02","2015/01/15"
"14","7","SINGLE","14","WEBSITE","100","USD","2015/01/01","2015/01/15"
"15","1","SINGLE","15","TELEPHONE","230","USD","2014/12/31","2014/12/15"
"16","2","SINGLE","16","TELEPHONE","200","USD","2014/12/30","2014/12/15"
"17","3","SINGLE","17","TRAVEL AGENT","190","USD","2014/12/29","2014/12/15"
"18","4","SINGLE","18","TELEPHONE","200","USD","2014/12/28","2014/12/15"
"19","5","SINGLE","19","WEBSITE","210","USD","2014/12/27","2014/12/15"
"20","6","SINGLE","20","OTHER","300","USD","2014/12/26","2014/12/15"
"21","7","OTHER","21","TELEPHONE","100","USD","2014/12/25","2014/12/15"
"22","1","DOUBLE","22","TRAVEL AGENT","230","USD","2014/12/24","2014/12/15"
"23","2","DOUBLE","23","COMPANY","200","USD","2014/12/23","2014/12/15"
"24","3","SEMIDOUBLE","24","WEBSITE","190","USD","2014/12/22","2014/12/15"
"25","4","TWIN","25","OTHER","200","USD","2013/12/21","2013/12/15"
"26","5","TRIPLE","26","TELEPHONE","210","USD","2013/12/20","2013/12/15"
"27","6","SUITE","27","TRAVEL AGENT","300","USD","2013/12/19","2013/12/15"
"28","7","OTHER","28","COMPANY","100","USD","2013/12/18","2013/12/15"
"29","1","SINGLE","29","WEBSITE","230","USD","2013/12/17","2013/12/15"
"30","2","DOUBLE","30","OTHER","200","USD","2013/12/16","2013/12/15"
